Instance,class,Pred_class,Matches,gre,gpa,rank,x,y,Mix,class_new
1,0,0,Match,380,3.61,3,-0.083771698,0.736566721,"R18,R29,R54,R92,R118,R125,R155,R181,R194,R224",1
2,1,0,NonMatch,660,3.67,3,0.473570934,-0.392872634,"R24,R49,R66,R93,R120,R140,R158,R182,R207,R225",2
3,1,1,Match,800,4,1,0.002263495,-0.706600206,"R21,R38,R64,R77,R119,R138,R150,R180,R203,R232",2
4,1,0,NonMatch,640,3.19,4,0.590236559,0.425543713,"R9,R46,R70,R89,R112,R131,R163,R173,R208,R222",2
5,0,0,Match,520,2.93,4,0.388751232,0.508482842,"R5,R45,R57,R89,R101,R126,R163,R173,R198,R215",1
6,1,1,Match,760,3,2,0.22373447,-0.693837459,"R10,R41,R65,R82,R104,R129,R144,R170,R205,R217",2
7,1,1,Match,560,2.98,1,-0.200533238,0.560919408,"R5,R35,R55,R74,R100,R128,R142,R168,R191,R216",2
8,0,0,Match,400,3.08,2,-0.467253716,0.551385006,"R4,R31,R54,R83,R99,R123,R144,R169,R189,R210",1
9,1,0,NonMatch,540,3.39,3,0.281786321,0.273173596,"R5,R43,R56,R86,R120,R131,R156,R175,R198,R215",2
10,0,1,NonMatch,700,3.92,2,-0.219066259,-0.484941935,"R25,R40,R63,R84,R119,R138,R152,R182,R206,R232",1
11,0,0,Match,800,4,4,0.705254483,-0.286741879,"R25,R50,R72,R97,R120,R140,R165,R187,R208,R233",1
12,0,0,Match,440,3.22,1,-0.314930253,0.700303022,"R4,R30,R54,R73,R109,R121,R145,R167,R188,R213",1
13,1,1,Match,760,4,1,0.002263495,-0.706600206,"R21,R38,R64,R77,R119,R138,R150,R180,R203,R232",2
14,0,0,Match,700,3.08,2,-0.715149517,0.070728372,"R8,R40,R63,R83,R103,R144,R169,R205,R221",1
15,1,1,Match,700,4,1,-0.054889859,-0.63559452,"R20,R36,R63,R77,R119,R138,R150,R180,R203,R232",2
16,0,0,Match,480,3.44,3,0.190466085,0.094657888,"R16,R31,R56,R86,R120,R133,R156,R177,R195,R225",1
17,0,0,Match,780,3.87,4,0.705254484,-0.286741879,"R25,R50,R72,R97,R120,R140,R165,R187,R208,R233",1
18,0,0,Match,360,2.56,3,-0.063312068,0.771264266,"R2,R29,R54,R85,R99,R125,R153,R171,R194,R209",1
19,0,1,NonMatch,800,3.75,2,-0.19076447,-0.506560423,"R25,R42,R65,R84,R119,R138,R152,R182,R206,R230",1
20,1,1,Match,540,3.81,1,0.078521306,-0.693465392,"R15,R35,R58,R75,R119,R136,R150,R180,R193,R229",2
21,0,0,Match,500,3.17,3,0.2212088,0.382068393,"R5,R43,R56,R86,R109,R131,R156,R173,R198,R215",1
22,1,1,Match,660,3.63,2,-0.320903831,-0.404104516,"R24,R39,R63,R84,R119,R138,R152,R182,R206,R225",2
23,0,0,Match,600,2.82,4,0.464851526,0.616829872,"R9,R46,R70,R88,R101,R126,R162,R173,R204,R219",1
24,0,0,Match,680,3.19,4,0.64026423,0.370114116,"R9,R50,R72,R91,R112,R131,R163,R173,R208,R222",1
25,1,1,Match,760,3.35,2,-0.739244103,-0.138529344,"R14,R41,R65,R84,R117,R132,R151,R170,R205,R221",2
26,1,1,Match,800,3.66,1,-0.094197372,-0.755778222,"R21,R38,R64,R76,R119,R138,R149,R179,R201,R228",2
27,1,1,Match,620,3.61,1,-0.214220153,-0.691268552,"R19,R35,R63,R75,R119,R138,R149,R179,R201,R223",2
28,1,1,Match,520,3.74,4,0.673341886,0.039192111,"R18,R45,R59,R96,R120,R136,R164,R184,R198,R225",2
29,1,1,Match,780,3.22,2,-0.753012846,-0.122985873,"R10,R41,R65,R84,R113,R132,R147,R170,R205,R221",2
30,0,0,Match,520,3.29,1,-0.140942649,0.345680823,"R5,R35,R55,R75,R114,R131,R145,R167,R192,R214",1
31,0,1,NonMatch,540,3.78,4,0.718902712,0.056768495,"R18,R45,R59,R96,R120,R136,R164,R184,R198,R233",1
32,0,0,Match,760,3.35,3,0.320634797,-0.155423354,"R14,R49,R69,R87,R117,R132,R156,R175,R207,R221",1
33,0,0,Match,600,3.4,3,0.340610602,-0.010572098,"R12,R44,R66,R86,R120,R131,R156,R175,R207,R221",1
34,1,0,NonMatch,800,4,3,0.436232474,-0.49902991,"R25,R49,R69,R94,R120,R140,R158,R182,R207,R232",2
35,0,0,Match,360,3.14,1,-0.224939709,0.727730607,"R4,R29,R54,R73,R99,R121,R142,R167,R188,R209",1
36,0,0,Match,400,3.05,2,-0.467253716,0.551385006,"R4,R31,R54,R83,R99,R123,R144,R169,R189,R210",1
37,0,1,NonMatch,580,3.25,1,-0.130915108,0.225651744,"R6,R35,R55,R74,R114,R131,R145,R168,R192,R220",1
38,0,0,Match,520,2.9,3,0.197904188,0.424759797,"R5,R43,R56,R86,R101,R126,R156,R173,R198,R215",1
39,1,0,NonMatch,500,3.13,2,-0.33777016,0.238178354,"R5,R39,R56,R84,R99,R131,R144,R169,R189,R213",2
40,1,0,NonMatch,520,2.68,3,0.039667869,0.471666159,"R5,R43,R56,R86,R101,R126,R154,R172,R197,R215",2
41,0,0,Match,560,2.42,2,-0.541362979,0.318237633,"R3,R39,R56,R79,R101,R126,R143,R169,R191,R217",1
42,1,0,NonMatch,580,3.32,2,-0.388603168,0.088994802,"R6,R39,R56,R84,R116,R131,R145,R169,R192,R221",2
43,1,1,Match,600,3.15,2,-0.551878588,0.023320277,"R8,R39,R63,R84,R110,R131,R144,R169,R205,R221",2
44,0,0,Match,500,3.31,3,0.222620179,0.332599068,"R5,R43,R56,R86,R116,R131,R156,R175,R198,R215",1
45,0,1,NonMatch,700,2.94,2,-0.748297013,0.191634707,"R8,R40,R62,R81,R103,R129,R144,R169,R205,R217",1
46,1,0,NonMatch,460,3.45,3,0.190466085,0.094657888,"R16,R31,R56,R86,R120,R133,R156,R177,R195,R225",2
47,1,1,Match,580,3.46,2,-0.504685299,-0.216544228,"R22,R39,R56,R84,R119,R137,R151,R178,R192,R225",2
48,0,0,Match,500,2.97,4,0.39154234,0.526706888,"R5,R45,R57,R89,R99,R129,R163,R173,R198,R215",1
49,0,0,Match,440,2.48,4,0.12112115,0.738915241,"R2,R32,R54,R88,R99,R125,R159,R171,R194,R215",1
50,0,0,Match,400,3.35,3,-0.057426749,0.717403918,"R4,R31,R54,R85,R117,R125,R155,R175,R194,R210",1
51,0,0,Match,640,3.86,3,0.413040107,-0.414366702,"R25,R44,R66,R93,R120,R139,R158,R182,R207,R231",1
52,0,0,Match,440,3.13,4,0.158276808,0.689380935,"R4,R32,R54,R89,R99,R125,R161,R173,R194,R215",1
53,0,0,Match,740,3.37,4,0.648943615,0.214708707,"R14,R50,R72,R91,R120,R131,R163,R175,R208,R222",1
54,1,1,Match,680,3.27,2,-0.544488417,-0.025202913,"R13,R39,R63,R84,R114,R131,R146,R169,R205,R221",2
55,0,0,Match,660,3.34,3,0.252273132,-0.061909426,"R13,R49,R66,R87,R116,R131,R156,R175,R207,R221",1
56,1,0,NonMatch,740,4,3,0.436232474,-0.49902991,"R25,R49,R69,R94,R120,R140,R158,R182,R207,R232",2
57,0,0,Match,560,3.19,3,0.144529471,0.275308755,"R5,R44,R56,R86,R110,R131,R156,R173,R198,R221",1
58,0,0,Match,380,2.94,3,0.005280639,0.733590639,"R4,R29,R54,R85,R99,R125,R155,R173,R194,R209",1
59,0,0,Match,400,3.65,2,-0.719929675,0.202586126,"R17,R31,R54,R84,R118,R124,R148,R181,R190,R224",1
60,0,0,Match,600,2.82,4,0.464851527,0.616829872,"R9,R46,R70,R88,R101,R126,R162,R173,R204,R219",1
61,1,1,Match,620,3.18,2,-0.564001373,0.014907843,"R8,R39,R63,R84,R111,R131,R144,R169,R205,R221",2
62,0,0,Match,560,3.32,4,0.48087828,0.397053103,"R5,R46,R57,R89,R116,R131,R163,R175,R198,R222",1
63,0,0,Match,640,3.67,3,0.400496928,-0.354275327,"R24,R44,R66,R93,R120,R139,R158,R182,R207,R225",1
64,1,1,Match,680,3.85,3,0.485955392,-0.474216616,"R25,R49,R69,R93,R120,R140,R158,R182,R207,R231",2
65,0,0,Match,580,4,3,0.490096088,-0.242366575,"R25,R44,R60,R94,R120,R139,R158,R181,R198,R232",1
66,0,1,NonMatch,600,3.59,2,-0.365003628,-0.387700363,"R24,R39,R63,R84,R119,R138,R152,R181,R206,R225",1
67,0,0,Match,740,3.62,4,0.725693182,-0.222521849,"R24,R50,R72,R97,R120,R140,R164,R186,R208,R228",1
68,0,0,Match,620,3.3,1,-0.719870654,-0.065620127,"R11,R35,R63,R75,R114,R131,R145,R168,R199,R220",1
69,0,1,NonMatch,580,3.69,1,-0.164195712,-0.725719045,"R19,R35,R58,R75,R119,R138,R149,R179,R193,R223",1
70,0,1,NonMatch,800,3.73,1,-0.041830846,-0.752521347,"R21,R38,R64,R76,R119,R138,R149,R180,R202,R228",1
71,0,0,Match,640,4,3,0.36070677,-0.481065617,"R25,R44,R67,R94,R120,R139,R158,R182,R207,R232",1
72,0,0,Match,300,2.92,4,0.248495185,0.724022723,"R4,R26,R51,R89,R98,R125,R159,R173,R194,R211",1
73,0,0,Match,480,3.39,4,0.453265047,0.316438435,"R5,R34,R57,R89,R120,R131,R161,R175,R196,R215",1
74,0,0,Match,580,4,2,-0.387162083,-0.465147902,"R25,R39,R60,R84,R119,R138,R152,R181,R193,R232",1
75,0,0,Match,720,3.45,4,0.759663699,-0.127315111,"R23,R50,R72,R91,R120,R140,R163,R186,R208,R227",1
76,0,0,Match,720,4,3,0.436232474,-0.49902991,"R25,R49,R69,R94,R120,R140,R158,R182,R207,R232",1
77,0,0,Match,560,3.36,3,0.24445717,0.189708631,"R5,R44,R56,R86,R120,R131,R156,R175,R198,R221",1
78,1,0,NonMatch,800,4,3,0.436232474,-0.49902991,"R25,R49,R69,R94,R120,R140,R158,R182,R207,R232",2
79,0,0,Match,540,3.12,1,-0.237446163,0.5874835,"R5,R35,R55,R73,R100,R130,R142,R167,R191,R214",1
80,1,1,Match,620,4,1,-0.054493177,-0.616005908,"R20,R35,R63,R75,R119,R138,R150,R180,R203,R232",2
81,0,0,Match,700,2.9,4,0.603094786,0.526996517,"R9,R48,R71,R90,R105,R127,R163,R173,R204,R219",1
82,0,1,NonMatch,620,3.07,2,-0.648064676,0.083221439,"R8,R39,R63,R83,R101,R144,R169,R205,R221",1
83,0,0,Match,500,2.71,2,-0.360527778,0.411676601,"R5,R39,R56,R80,R99,R126,R143,R169,R189,R213",1
84,0,0,Match,380,2.91,4,0.132143928,0.712969863,"R4,R32,R54,R89,R99,R125,R159,R173,R194,R211",1
85,1,1,Match,500,3.6,3,0.532005701,0.035542694,"R43,R59,R92,R120,R134,R156,R181,R198,R225",2
86,0,0,Match,520,2.98,2,-0.397222703,0.309664852,"R5,R39,R56,R82,R101,R129,R144,R169,R191,R214",1
87,0,0,Match,600,3.32,2,-0.489973767,-0.000117192,"R11,R39,R63,R84,R116,R131,R145,R169,R205,R221",1
88,0,1,NonMatch,600,3.48,2,-0.421915589,-0.360055538,"R24,R39,R63,R84,R119,R137,R152,R178,R206,R225",1
89,0,0,Match,700,3.28,1,-0.082222576,-0.039536413,"R13,R36,R63,R74,R76,R114,R131,R147,R168,R199,R220",1
90,1,1,Match,660,4,2,-0.255097678,-0.439248263,"R25,R39,R63,R84,R119,R138,R152,R182,R206,R232",2
91,0,1,NonMatch,700,3.83,2,-0.265416449,-0.501882189,"R25,R40,R63,R84,R119,R138,R152,R182,R206,R231",1
92,1,1,Match,720,3.64,1,-0.278127949,-0.690848023,"R19,R36,R63,R76,R119,R138,R149,R179,R201,R227",2
93,0,1,NonMatch,800,3.9,2,-0.163455546,-0.492641353,"R25,R42,R65,R84,R119,R138,R152,R182,R206,R232",1
94,0,0,Match,580,2.93,2,-0.523272431,0.316738583,"R6,R39,R56,R80,R101,R126,R143,R169,R191,R217",1
95,1,1,Match,660,3.44,2,-0.552492567,-0.273415568,"R22,R39,R63,R84,R119,R137,R151,R178,R205,R225",2
96,0,0,Match,660,3.33,2,-0.49175264,-0.004201569,"R13,R39,R63,R84,R116,R131,R145,R169,R205,R221",1
97,0,0,Match,640,3.52,4,0.692519755,-0.047008334,"R24,R46,R70,R89,R120,R139,R164,R185,R208,R225",1
98,0,0,Match,480,3.57,2,-0.237120868,-0.194314539,"R31,R56,R84,R119,R134,R152,R181,R190,R225",1
99,0,0,Match,700,2.88,2,-0.678409155,0.380698466,"R8,R40,R62,R80,R103,R127,R143,R169,R204,R217",1
100,0,0,Match,400,3.31,3,-0.048449188,0.708125538,"R4,R31,R54,R85,R116,R125,R155,R175,R194,R210",1
101,0,0,Match,340,3.15,3,0.067027118,0.763339528,"R4,R28,R53,R85,R108,R125,R155,R173,R194,R209",1
102,0,0,Match,580,3.57,3,0.393092962,0.030650795,"R24,R44,R56,R86,R120,R139,R156,R181,R198,R225",1
103,0,0,Match,380,3.33,4,0.185023899,0.722838539,"R4,R33,R54,R89,R116,R125,R160,R175,R194,R211",1
104,0,1,NonMatch,540,3.94,3,0.590319824,-0.077227439,"R18,R43,R60,R93,R120,R136,R157,R181,R198,R232",1
105,1,1,Match,660,3.95,2,-0.255097678,-0.439248263,"R25,R39,R63,R84,R119,R138,R152,R182,R206,R232",2
106,1,1,Match,740,2.97,2,0.22979142,-0.694349954,"R10,R41,R62,R82,R104,R129,R144,R170,R205,R217",2
107,1,1,Match,700,3.56,1,-0.278127949,-0.690848023,"R19,R36,R63,R76,R119,R138,R149,R179,R201,R227",2
108,0,0,Match,480,3.13,2,-0.299061252,0.310744964,"R5,R31,R56,R84,R99,R131,R144,R169,R189,R213",1
109,0,0,Match,400,2.93,3,-0.019400729,0.704164079,"R4,R31,R54,R85,R99,R125,R155,R173,R194,R210",1
110,0,0,Match,480,3.45,2,-0.584613177,-0.205246968,"R16,R31,R56,R84,R119,R133,R151,R177,R190,R225",1
111,0,0,Match,680,3.08,4,0.694812988,0.366466466,"R9,R50,R72,R91,R106,R163,R173,R208,R222",1
112,0,0,Match,420,3.41,4,0.267617753,0.642355707,"R4,R33,R54,R89,R120,R125,R161,R175,R194,R215",1
113,0,0,Match,360,3,3,0.005280639,0.733590639,"R4,R29,R54,R85,R99,R125,R155,R173,R194,R209",1
114,0,0,Match,600,3.22,1,-0.146121712,0.060112375,"R8,R35,R63,R74,R110,R131,R145,R168,R199,R220",1
115,0,1,NonMatch,720,3.84,3,0.485955392,-0.474216616,"R25,R49,R69,R93,R120,R140,R158,R182,R207,R231",1
116,0,0,Match,620,3.99,3,0.36070677,-0.481065617,"R25,R44,R67,R94,R120,R139,R158,R182,R207,R232",1
117,1,0,NonMatch,440,3.45,2,-0.639770553,-0.219134683,"R16,R31,R54,R84,R119,R124,R151,R177,R190,R225",2
118,0,1,NonMatch,700,3.72,2,-0.274749279,-0.506776223,"R25,R40,R63,R84,R119,R138,R152,R182,R206,R227",1
119,1,1,Match,800,3.7,1,-0.09419728,-0.755778223,"R21,R38,R64,R76,R119,R138,R149,R179,R201,R228",2
120,0,0,Match,340,2.92,3,0.034424854,0.740947617,"R4,R26,R51,R85,R99,R125,R155,R173,R194,R209",1
121,1,1,Match,520,3.74,2,-0.500122073,-0.384328254,"R17,R39,R59,R84,R119,R136,R152,R181,R193,R225",2
122,1,0,NonMatch,480,2.67,2,-0.33814724,0.486108933,"R2,R5,R31,R56,R80,R99,R126,R143,R169,R189,R213",2
123,0,0,Match,520,2.85,3,0.197904188,0.424759797,"R5,R43,R56,R86,R101,R126,R156,R173,R198,R215",1
124,0,0,Match,500,2.98,3,0.214062869,0.447563622,"R5,R43,R56,R86,R99,R129,R156,R173,R198,R215",1
125,0,1,NonMatch,720,3.88,3,0.485955392,-0.474216616,"R25,R49,R69,R93,R120,R140,R158,R182,R207,R231",1
126,0,0,Match,540,3.38,4,0.456166265,0.32615354,"R5,R45,R57,R89,R120,R131,R163,R175,R198,R215",1
127,1,1,Match,600,3.54,1,-0.214220153,-0.691268552,"R19,R35,R63,R75,R119,R138,R149,R179,R201,R223",2
128,0,0,Match,740,3.74,4,0.702834626,-0.271691226,"R25,R50,R72,R97,R120,R140,R164,R187,R208,R228",1
129,0,0,Match,540,3.19,2,-0.365073226,0.194766853,"R5,R39,R56,R84,R110,R131,R144,R169,R191,R214",1
130,0,0,Match,460,3.15,4,0.350378006,0.564159797,"R5,R32,R57,R89,R109,R131,R161,R173,R196,R215",1
131,1,1,Match,620,3.17,2,-0.564001373,0.014907843,"R8,R39,R63,R84,R111,R131,R144,R169,R205,R221",2
132,0,0,Match,640,2.79,2,-0.635264266,0.304541764,"R8,R39,R61,R80,R101,R126,R143,R169,R204,R217",1
133,0,1,NonMatch,580,3.4,2,-0.391986572,-0.016440781,"R6,R39,R56,R84,R119,R131,R151,R169,R192,R221",1
134,0,0,Match,500,3.08,3,0.218491575,0.453443534,"R5,R43,R56,R86,R99,R156,R173,R198,R215",1
135,0,0,Match,560,2.95,2,-0.44570439,0.300926022,"R5,R39,R56,R81,R101,R129,R144,R169,R191,R217",1
136,0,0,Match,500,3.57,3,0.393291002,0.119709029,"R43,R56,R86,R120,R134,R156,R181,R198,R225",1
137,0,0,Match,560,3.33,4,0.48087828,0.397053103,"R5,R46,R57,R89,R116,R131,R163,R175,R198,R222",1
138,0,0,Match,700,4,3,0.436232474,-0.49902991,"R25,R49,R69,R94,R120,R140,R158,R182,R207,R232",1
139,0,1,NonMatch,620,3.4,2,-0.493389166,-0.102321767,"R12,R39,R63,R84,R119,R131,R151,R169,R205,R221",1
140,1,1,Match,600,3.58,1,-0.214220153,-0.691268552,"R19,R35,R63,R75,R119,R138,R149,R179,R201,R223",2
141,0,1,NonMatch,640,3.93,2,-0.255097678,-0.439248263,"R25,R39,R63,R84,R119,R138,R152,R182,R206,R232",1
142,1,1,Match,700,3.52,4,0.731646929,-0.192941776,"R24,R50,R72,R91,R120,R140,R164,R186,R208,R227",2
143,0,0,Match,620,3.94,4,0.733297274,-0.106560068,"R25,R46,R70,R96,R120,R139,R164,R185,R208,R233",1
144,0,0,Match,580,3.4,3,0.266393636,0.149417913,"R6,R44,R56,R86,R120,R131,R156,R175,R198,R221",1
145,0,0,Match,580,3.4,4,0.56080458,0.279602258,"R7,R46,R57,R89,R120,R131,R163,R175,R198,R222",1
146,0,0,Match,380,3.43,3,-0.072519708,0.766529419,"R4,R29,R54,R85,R118,R125,R155,R177,R194,R209",1
147,0,0,Match,480,3.4,2,-0.292875117,0.126361336,"R5,R31,R56,R84,R119,R131,R151,R169,R189,R213",1
148,0,0,Match,560,2.71,3,0.154938109,0.364133576,"R5,R44,R56,R86,R101,R126,R156,R173,R198,R218",1
149,1,0,NonMatch,480,2.91,1,-0.240604894,0.644721371,"R5,R30,R55,R73,R99,R126,R142,R167,R188,R213",2
150,0,0,Match,740,3.31,1,-0.050464702,-0.057983953,"R14,R36,R63,R76,R116,R131,R147,R168,R199,R220",1
151,1,1,Match,800,3.74,1,-0.004600401,-0.735801087,"R21,R38,R64,R77,R119,R138,R150,R180,R203,R228",2
152,0,0,Match,400,3.38,2,-0.544921848,0.451014612,"R4,R31,R54,R84,R118,R124,R148,R169,R189,R210",1
153,1,1,Match,640,3.94,2,-0.255097678,-0.439248263,"R25,R39,R63,R84,R119,R138,R152,R182,R206,R232",2
154,0,0,Match,580,3.46,3,0.399927271,0.068233713,"R22,R44,R56,R86,R120,R139,R156,R178,R198,R225",1
155,0,0,Match,620,3.69,3,0.391952148,-0.383903674,"R25,R44,R66,R93,R120,R139,R158,R182,R207,R225",1
156,1,0,NonMatch,580,2.86,4,0.476582157,0.563627221,"R7,R46,R57,R88,R101,R126,R162,R173,R198,R219",2
157,0,0,Match,560,2.52,2,-0.541362979,0.318237633,"R3,R39,R56,R79,R101,R126,R143,R169,R191,R217",1
158,1,1,Match,480,3.58,1,0.10631485,-0.732446321,"R15,R30,R58,R75,R119,R134,R149,R179,R188,R223",2
159,0,1,NonMatch,660,3.49,2,-0.421915589,-0.360055538,"R24,R39,R63,R84,R119,R137,R152,R178,R206,R225",1
160,0,0,Match,700,3.82,3,0.493255217,-0.468768077,"R25,R49,R69,R93,R120,R140,R158,R182,R207,R230",1
161,0,1,NonMatch,600,3.13,2,-0.535442538,0.042489035,"R8,R39,R63,R84,R101,R131,R144,R169,R205,R221",1
162,0,1,NonMatch,640,3.5,2,-0.320903831,-0.404104516,"R24,R39,R63,R84,R119,R138,R152,R182,R206,R225",1
163,1,1,Match,700,3.56,2,-0.327309086,-0.511421503,"R24,R40,R63,R84,R119,R138,R152,R182,R206,R227",2
164,0,0,Match,520,2.73,2,-0.374410922,0.353256885,"R5,R39,R56,R80,R101,R126,R143,R169,R191,R214",1
165,0,0,Match,580,3.3,2,-0.408815691,0.091865105,"R6,R39,R56,R84,R114,R131,R145,R169,R192,R221",1
166,0,1,NonMatch,700,4,1,-0.054889859,-0.63559452,"R20,R36,R63,R77,R119,R138,R150,R180,R203,R232",1
167,0,0,Match,440,3.24,4,0.206148439,0.717365317,"R4,R34,R54,R89,R115,R125,R161,R174,R194,R215",1
168,0,0,Match,720,3.77,3,0.493255217,-0.468768077,"R25,R49,R69,R93,R120,R140,R158,R182,R207,R230",1
169,0,0,Match,500,4,3,0.602891882,-0.042478837,"R18,R43,R60,R94,R120,R134,R157,R181,R198,R232",1
170,0,0,Match,600,3.62,3,0.424307627,-0.228912793,"R24,R44,R66,R93,R120,R139,R156,R181,R207,R225",1
171,0,0,Match,400,3.51,3,-0.101231739,0.716039057,"R31,R54,R85,R118,R125,R155,R181,R194,R224",1
172,0,0,Match,540,2.81,3,0.197904188,0.424759797,"R5,R43,R56,R86,R101,R126,R156,R173,R198,R215",1
173,0,0,Match,680,3.48,3,0.565762855,-0.322698322,"R24,R49,R69,R87,R120,R140,R156,R178,R207,R226",1
174,1,1,Match,800,3.43,2,-0.664527605,-0.259962199,"R14,R42,R65,R84,R119,R137,R151,R178,R205,R221",2
175,0,0,Match,500,3.53,4,0.663753866,0.132877577,"R45,R57,R89,R120,R133,R164,R183,R198,R225",1
176,1,1,Match,620,3.37,2,-0.493389166,-0.102321767,"R12,R39,R63,R84,R119,R131,R151,R169,R205,R221",2
177,0,0,Match,520,2.62,2,-0.483555297,0.340235104,"R2,R39,R56,R79,R101,R126,R143,R169,R191,R214",1
178,1,0,NonMatch,620,3.23,3,0.210760155,-0.05850636,"R8,R44,R66,R87,R112,R131,R156,R174,R207,R221",2
179,0,0,Match,620,3.33,3,0.266220049,-0.013222725,"R11,R44,R66,R87,R116,R131,R156,R175,R207,R221",1
180,0,0,Match,300,3.01,3,0.053986096,0.763461499,"R4,R27,R52,R85,R98,R125,R155,R173,R194,R209",1
181,0,0,Match,620,3.78,3,0.404039003,-0.414679313,"R25,R44,R66,R93,R120,R139,R158,R182,R207,R229",1
182,0,0,Match,500,3.88,4,0.726102476,0.064148155,"R18,R45,R59,R96,R120,R134,R164,R183,R198,R233",1
183,0,1,NonMatch,700,4,2,-0.219066259,-0.484941935,"R25,R40,R63,R84,R119,R138,R152,R182,R206,R232",1
184,1,1,Match,540,3.84,2,-0.5306891,-0.41506656,"R17,R39,R59,R84,R119,R136,R152,R181,R193,R231",2
185,0,0,Match,500,2.79,4,0.326138873,0.571076213,"R5,R45,R57,R88,R99,R126,R162,R173,R198,R215",1
186,0,1,NonMatch,800,3.6,2,-0.327013279,-0.551497998,"R24,R42,R65,R84,R119,R138,R152,R182,R206,R228",1
187,0,1,NonMatch,560,3.61,3,0.518570799,-0.004526257,"R18,R44,R59,R92,R120,R135,R156,R181,R198,R225",1
