Instance,class,Pred_class,Matches,gre,gpa,rank,x,y,Mix,class_new
188,0,0,Match,580,2.88,2,-0.523272431,0.316738583,"R6,R39,R56,R80,R101,R126,R143,R169,R191,R217",1
189,0,0,Match,560,3.07,2,-0.428820704,0.267247242,"R5,R39,R56,R83,R101,R144,R169,R191,R221",1
190,0,0,Match,500,3.35,2,-0.346774569,0.178372477,"R5,R39,R56,R84,R117,R131,R151,R169,R189,R213",1
191,1,1,Match,640,2.94,2,-0.683654016,0.180451151,"R8,R39,R62,R81,R101,R129,R144,R169,R205,R217",2
192,0,0,Match,800,3.54,3,0.530088824,-0.357206547,"R24,R49,R69,R87,R120,R140,R156,R182,R207,R228",1
193,0,0,Match,640,3.76,3,0.421942413,-0.413177704,"R25,R44,R66,R93,R120,R139,R158,R182,R207,R230",1
194,0,0,Match,380,3.59,4,0.244326677,0.751339149,"R33,R54,R89,R118,R125,R160,R183,R194,R224",1
195,1,1,Match,600,3.47,2,-0.552492567,-0.273415568,"R22,R39,R63,R84,R119,R137,R151,R178,R205,R225",2
196,0,1,NonMatch,560,3.59,2,-0.492598986,-0.361015292,"R39,R59,R84,R119,R135,R152,R181,R193,R225",1
197,0,0,Match,660,3.07,3,0.230552149,-0.031343977,"R8,R49,R66,R87,R101,R156,R173,R207,R221",1
198,1,0,NonMatch,400,3.23,4,0.178575694,0.75502229,"R4,R33,R54,R89,R108,R125,R161,R174,R194,R212",2
199,0,0,Match,600,3.63,3,0.424307627,-0.228912793,"R24,R44,R66,R93,R120,R139,R156,R181,R207,R225",1
200,0,0,Match,580,3.77,4,0.69001491,-0.027986597,"R25,R46,R59,R96,R120,R139,R164,R185,R198,R233",1
201,0,0,Match,800,3.31,3,0.315126446,-0.140864691,"R14,R49,R69,R87,R116,R132,R156,R175,R207,R221",1
202,1,0,NonMatch,580,3.2,2,-0.420144346,0.12041368,"R6,R39,R56,R84,R110,R131,R145,R169,R191,R221",2
203,1,1,Match,700,4,1,-0.054889859,-0.63559452,"R20,R36,R63,R77,R119,R138,R150,R180,R203,R232",2
204,0,0,Match,420,3.92,4,0.702822928,0.223828553,"R18,R33,R54,R96,R120,R125,R161,R183,R194,R233",1
205,1,1,Match,600,3.89,1,-0.086538127,-0.636355101,"R19,R35,R63,R75,R119,R138,R150,R180,R203,R232",2
206,1,0,NonMatch,780,3.8,3,0.493255217,-0.468768077,"R25,R49,R69,R93,R120,R140,R158,R182,R207,R230",2
207,0,1,NonMatch,740,3.54,1,-0.259524241,-0.696575001,"R19,R36,R63,R76,R119,R138,R149,R179,R201,R228",1
208,1,1,Match,640,3.63,1,-0.235123071,-0.692384291,"R19,R35,R63,R76,R119,R138,R149,R179,R201,R223",2
209,0,0,Match,540,3.16,3,0.206136287,0.37603419,"R5,R43,R56,R86,R110,R131,R156,R173,R198,R215",1
210,0,1,NonMatch,580,3.5,2,-0.329166575,-0.292905131,"R24,R39,R56,R84,R119,R138,R152,R181,R193,R225",1
211,0,0,Match,740,3.34,4,0.642004972,0.314034411,"R14,R50,R72,R91,R116,R131,R163,R175,R208,R222",1
212,0,0,Match,580,3.02,2,-0.576391032,0.266406631,"R6,R39,R56,R83,R101,R144,R169,R191,R217",1
213,0,0,Match,460,2.87,2,-0.338609507,0.4842152,"R5,R31,R56,R80,R99,R126,R143,R169,R189,R213",1
214,0,0,Match,640,3.38,3,0.341922125,-0.060683441,"R13,R44,R66,R87,R120,R131,R156,R175,R207,R221",1
215,1,1,Match,600,3.56,2,-0.365003628,-0.387700363,"R24,R39,R63,R84,R119,R138,R152,R181,R206,R225",2
216,1,0,NonMatch,660,2.91,3,0.463136264,0.49074438,"R8,R47,R66,R87,R101,R126,R156,R173,R204,R219",2
217,0,0,Match,340,2.9,1,-0.248271857,0.742032902,"R4,R26,R51,R73,R99,R121,R142,R166,R188,R209",1
218,1,1,Match,460,3.64,1,0.106314851,-0.732446321,"R15,R30,R58,R75,R119,R134,R149,R179,R188,R223",2
219,0,0,Match,460,2.98,1,-0.25036596,0.659830299,"R5,R30,R55,R73,R99,R128,R142,R167,R188,R213",1
220,1,1,Match,560,3.59,2,-0.493847142,-0.363436536,"R39,R59,R84,R119,R135,R152,R181,R193,R225",2
221,0,0,Match,540,3.28,3,0.236776596,0.341974496,"R5,R43,R56,R86,R115,R131,R156,R175,R198,R215",1
222,0,0,Match,680,3.99,3,0.436232474,-0.49902991,"R25,R49,R69,R94,R120,R140,R158,R182,R207,R232",1
223,1,0,NonMatch,480,3.02,1,-0.253877703,0.660904174,"R5,R30,R55,R73,R99,R142,R167,R188,R213",2
224,0,1,NonMatch,800,3.47,3,0.587002487,-0.329443998,"R22,R49,R69,R87,R120,R140,R156,R178,R207,R228",1
225,0,0,Match,800,2.9,2,0.263370147,-0.715817982,"R10,R42,R65,R80,R104,R127,R143,R170,R204,R217",1
226,1,0,NonMatch,720,3.5,3,0.525324701,-0.3541224,"R24,R49,R69,R87,R120,R140,R156,R182,R207,R227",2
227,0,1,NonMatch,620,3.58,2,-0.320903831,-0.404104516,"R24,R39,R63,R84,R119,R138,R152,R182,R206,R225",1
228,0,0,Match,540,3.02,4,0.417825243,0.506378985,"R5,R45,R57,R89,R101,R163,R173,R198,R215",1
229,0,0,Match,480,3.43,2,-0.567019384,-0.122050919,"R5,R31,R56,R84,R119,R133,R151,R177,R190,R213",1
230,1,1,Match,720,3.42,2,-0.627242307,-0.268537599,"R14,R41,R63,R84,R119,R137,R151,R178,R205,R221",2
231,0,0,Match,580,3.29,4,0.547315681,0.397590217,"R7,R46,R57,R89,R115,R131,R163,R175,R198,R222",1
232,0,0,Match,600,3.28,3,0.274265313,0.05615692,"R11,R44,R66,R86,R115,R131,R156,R175,R207,R221",1
233,0,0,Match,380,3.38,2,-0.542380406,0.47444356,"R4,R29,R54,R84,R118,R124,R148,R169,R189,R209",1
234,0,0,Match,420,2.67,3,-0.039195766,0.693449263,"R2,R4,R31,R54,R85,R99,R125,R153,R172,R194,R215",1
235,1,1,Match,800,3.53,1,-0.094197372,-0.755778222,"R21,R38,R64,R76,R119,R138,R149,R179,R201,R228",2
236,0,1,NonMatch,620,3.05,2,-0.646783353,0.085239353,"R8,R39,R63,R83,R101,R144,R169,R205,R221",1
237,1,1,Match,660,3.49,2,-0.421915589,-0.360055538,"R24,R39,R63,R84,R119,R137,R152,R178,R206,R225",2
238,0,0,Match,480,4,2,-0.144091613,-0.317451656,"R17,R31,R60,R84,R119,R134,R152,R181,R190,R232",1
239,0,0,Match,500,2.86,4,0.326138873,0.571076213,"R5,R45,R57,R88,R99,R126,R162,R173,R198,R215",1
240,0,1,NonMatch,700,3.45,3,0.583653148,-0.324978701,"R22,R49,R69,R87,R120,R140,R156,R178,R207,R227",1
241,0,0,Match,440,2.76,2,-0.427719175,0.571346328,"R4,R31,R54,R80,R99,R122,R143,R169,R189,R213",1
242,1,1,Match,520,3.81,1,0.078521306,-0.693465392,"R15,R35,R58,R75,R119,R136,R150,R180,R193,R229",2
243,1,1,Match,680,2.96,3,0.524824956,0.190458521,"R8,R47,R68,R87,R105,R129,R156,R173,R207,R219",2
244,0,1,NonMatch,620,3.22,2,-0.551828086,-0.000970991,"R8,R39,R63,R84,R111,R131,R145,R169,R205,R221",1
245,0,0,Match,540,3.04,1,-0.241126996,0.593140284,"R5,R35,R55,R73,R100,R142,R167,R191,R214",1
246,0,1,NonMatch,800,3.91,3,0.450788589,-0.480019572,"R25,R49,R69,R93,R120,R140,R158,R182,R207,R232",1
247,0,0,Match,680,3.34,2,-0.511851926,-0.026013138,"R13,R39,R63,R84,R116,R131,R146,R151,R169,R205,R221",1
248,0,0,Match,440,3.17,2,-0.515391356,0.434664467,"R4,R31,R54,R84,R109,R124,R144,R169,R189,R213",1
249,0,0,Match,680,3.64,3,0.52166918,-0.44553388,"R24,R49,R69,R93,R120,R140,R158,R182,R207,R226",1
250,0,0,Match,640,3.73,3,0.391952148,-0.383903674,"R25,R44,R66,R93,R120,R139,R158,R182,R207,R225",1
251,0,0,Match,660,3.31,4,0.603534477,0.347946122,"R13,R50,R70,R89,R116,R131,R163,R175,R208,R222",1
252,0,0,Match,620,3.21,4,0.586469942,0.427582148,"R9,R46,R70,R89,R112,R131,R163,R173,R174,R208,R222",1
253,1,1,Match,520,4,2,-0.494879999,-0.43553456,"R17,R39,R60,R84,R119,R136,R152,R181,R193,R232",2
254,1,0,NonMatch,540,3.55,4,0.650033178,0.125460377,"R45,R57,R89,R120,R135,R164,R184,R198,R225",2
255,1,1,Match,740,3.52,4,0.729568885,-0.203454404,"R24,R50,R72,R91,R120,R140,R164,R186,R208,R228",2
256,0,0,Match,640,3.35,3,0.259617717,-0.033583743,"R13,R44,R66,R87,R117,R131,R156,R175,R207,R221",1
257,1,0,NonMatch,520,3.3,2,-0.322353993,0.156872336,"R5,R39,R56,R84,R114,R131,R145,R169,R192,R214",2
258,1,1,Match,620,3.95,3,0.37090812,-0.461298223,"R25,R44,R67,R93,R120,R139,R158,R182,R207,R232",2
259,0,1,NonMatch,520,3.51,2,-0.371613747,-0.240963994,"R39,R56,R84,R119,R135,R152,R181,R193,R225",1
260,0,1,NonMatch,640,3.81,2,-0.288427627,-0.43882892,"R25,R39,R63,R84,R119,R138,R152,R182,R206,R230",1
261,0,0,Match,680,3.11,2,-0.674641765,0.054024335,"R8,R39,R63,R83,R103,R130,R144,R169,R205,R221",1
262,0,0,Match,440,3.15,2,-0.505749311,0.444001052,"R4,R31,R54,R84,R109,R123,R144,R169,R189,R213",1
263,1,0,NonMatch,520,3.19,3,0.2212088,0.382068393,"R5,R43,R56,R86,R109,R131,R156,R173,R198,R215",2
264,1,1,Match,620,3.95,3,0.37090812,-0.461298223,"R25,R44,R67,R93,R120,R139,R158,R182,R207,R232",2
265,1,1,Match,520,3.9,3,0.58619027,-0.071578371,"R18,R43,R59,R93,R120,R136,R157,R181,R198,R232",2
266,0,0,Match,380,3.34,3,-0.015001363,0.744641974,"R4,R29,R54,R85,R116,R125,R155,R175,R194,R209",1
267,0,0,Match,560,3.24,4,0.499385106,0.425468996,"R5,R46,R57,R89,R115,R131,R163,R174,R198,R222",1
268,1,0,NonMatch,600,3.64,3,0.419117848,-0.308448777,"R24,R44,R66,R93,R120,R139,R158,R181,R207,R225",2
269,1,1,Match,680,3.46,2,-0.59811497,-0.282560314,"R22,R39,R63,R84,R119,R137,R151,R178,R205,R226",2
270,0,0,Match,500,2.81,3,0.193428199,0.452035397,"R5,R43,R56,R86,R99,R126,R156,R173,R198,R215",1
271,1,1,Match,640,3.95,2,-0.255097678,-0.439248263,"R25,R39,R63,R84,R119,R138,R152,R182,R206,R232",2
272,0,0,Match,540,3.33,3,0.222620179,0.332599068,"R5,R43,R56,R86,R116,R131,R156,R175,R198,R215",1
273,1,1,Match,680,3.67,2,-0.345844963,-0.439181764,"R24,R39,R63,R84,R119,R138,R152,R182,R206,R226",2
274,0,0,Match,660,3.32,1,-0.107014764,-0.002531899,"R13,R35,R63,R76,R116,R131,R145,R168,R199,R220",1
275,0,0,Match,520,3.12,2,-0.413484197,0.312649935,"R5,R39,R56,R83,R101,R130,R144,R169,R191,R214",1
276,1,1,Match,600,2.98,2,-0.679601183,0.182701432,"R8,R39,R62,R82,R101,R129,R144,R169,R205,R217",2
277,0,1,NonMatch,460,3.77,3,0.636369988,-0.119700409,"R18,R31,R59,R93,R120,R134,R157,R181,R195,R229",1
278,1,1,Match,580,3.58,1,-0.164195712,-0.725719045,"R19,R35,R58,R75,R119,R138,R149,R179,R193,R223",2
279,1,1,Match,680,3,4,0.437414407,-0.649845966,"R9,R47,R71,R90,R105,R129,R163,R173,R208,R219",2
280,1,1,Match,660,3.14,2,-0.535442538,0.042489035,"R8,R39,R63,R84,R101,R131,R144,R169,R205,R221",2
281,0,1,NonMatch,660,3.94,2,-0.255097678,-0.439248263,"R25,R39,R63,R84,R119,R138,R152,R182,R206,R232",1
282,0,0,Match,360,3.27,3,-0.012288031,0.75611338,"R4,R29,R54,R85,R115,R125,R155,R175,R194,R209",1
283,0,0,Match,660,3.45,4,0.722511836,-0.037286757,"R23,R50,R70,R89,R120,R140,R163,R185,R208,R225",1
284,0,0,Match,520,3.1,4,0.4191374,0.504597804,"R5,R45,R57,R89,R101,R163,R173,R198,R215",1
285,1,0,NonMatch,440,3.39,2,-0.558375312,0.181542038,"R4,R31,R54,R84,R119,R124,R151,R169,R189,R213",2
286,0,0,Match,600,3.31,4,0.594385796,0.376441438,"R11,R46,R70,R89,R116,R131,R163,R175,R208,R222",1
287,1,1,Match,800,3.22,1,0.77775952,0.222461683,"R10,R37,R64,R74,R113,R132,R147,R168,R200,R220",2
288,1,1,Match,660,3.7,4,0.674219132,-0.217866484,"R25,R50,R70,R95,R120,R140,R164,R185,R208,R225",2
289,0,0,Match,800,3.15,4,0.704470719,0.335098055,"R10,R50,R72,R91,R113,R132,R163,R173,R208,R222",1
290,0,0,Match,420,2.26,4,0.12112115,0.738915241,"R2,R32,R54,R88,R99,R125,R159,R171,R194,R215",1
291,1,1,Match,620,3.45,2,-0.552492567,-0.273415568,"R22,R39,R63,R84,R119,R137,R151,R178,R205,R225",2
292,0,0,Match,800,2.78,2,-0.711440441,0.399924278,"R10,R42,R61,R80,R104,R127,R143,R170,R204,R217",1
293,0,1,NonMatch,680,3.7,2,-0.301131668,-0.441743822,"R25,R39,R63,R84,R119,R138,R152,R182,R206,R226",1
294,0,1,NonMatch,800,3.97,1,0.002263495,-0.706600206,"R21,R38,R64,R77,R119,R138,R150,R180,R203,R232",1
295,0,0,Match,480,2.55,1,-0.318145125,0.678837508,"R1,R30,R55,R73,R99,R126,R141,R167,R188,R213",1
296,0,0,Match,520,3.25,3,0.236776596,0.341974496,"R5,R43,R56,R86,R115,R131,R156,R175,R198,R215",1
297,0,0,Match,560,3.16,1,-0.141110084,0.419355686,"R5,R35,R55,R74,R110,R131,R142,R168,R191,R220",1
298,0,0,Match,460,3.07,2,-0.364655245,0.470832017,"R5,R31,R56,R83,R99,R144,R169,R189,R213",1
299,0,1,NonMatch,540,3.5,2,-0.377070302,-0.239678262,"R16,R39,R56,R84,R119,R135,R152,R181,R193,R225",1
300,0,0,Match,720,3.4,3,0.364498174,-0.104331513,"R14,R49,R69,R87,R120,R131,R156,R175,R207,R221",1
301,0,0,Match,640,3.3,2,-0.521960362,-0.010802665,"R13,R39,R63,R84,R114,R131,R145,R169,R205,R221",1
302,1,1,Match,660,3.6,3,0.458194727,-0.306795364,"R24,R49,R66,R92,R120,R140,R156,R182,R207,R225",2
303,1,0,NonMatch,400,3.15,2,-0.548918435,0.424089121,"R4,R31,R54,R84,R107,R123,R144,R169,R189,R210",2
304,1,1,Match,680,3.98,2,-0.255097678,-0.439248263,"R25,R39,R63,R84,R119,R138,R152,R182,R206,R232",2
305,0,0,Match,220,2.83,3,0.048139538,0.760473254,"R4,R26,R51,R85,R98,R125,R155,R173,R194,R209",1
306,0,0,Match,580,3.46,4,0.629849777,0.152733305,"R23,R46,R57,R89,R120,R139,R163,R185,R198,R225",1
307,1,0,NonMatch,540,3.17,1,-0.177840774,0.491115185,"R5,R35,R55,R73,R110,R131,R142,R167,R191,R214",2
308,0,1,NonMatch,580,3.51,2,-0.329166575,-0.292905131,"R24,R39,R56,R84,R119,R138,R152,R181,R193,R225",1
309,0,0,Match,540,3.13,2,-0.36546421,0.20644383,"R5,R39,R56,R84,R101,R131,R144,R169,R191,R214",1
310,0,0,Match,440,2.98,3,0.070562307,0.646569994,"R4,R31,R54,R85,R99,R125,R156,R173,R194,R215",1
311,0,0,Match,560,4,3,0.555956487,-0.163038301,"R18,R44,R60,R94,R120,R136,R158,R181,R198,R232",1
312,0,1,NonMatch,660,3.67,2,-0.320903831,-0.404104516,"R24,R39,R63,R84,R119,R138,R152,R182,R206,R225",1
313,0,0,Match,660,3.77,3,0.487482629,-0.445855193,"R25,R49,R66,R93,R120,R140,R158,R182,R207,R230",1
314,1,1,Match,520,3.65,4,0.668963954,0.035610072,"R18,R45,R59,R95,R120,R136,R164,R184,R198,R225",2
315,0,0,Match,540,3.46,4,0.61845741,0.172646343,"R16,R45,R57,R89,R120,R135,R163,R184,R198,R225",1
316,1,0,NonMatch,300,2.84,2,-0.454935937,0.65316924,"R4,R26,R51,R80,R98,R123,R143,R166,R189,R209",2
317,1,1,Match,340,3,2,-0.414207646,0.655169336,"R4,R27,R52,R82,R99,R123,R144,R166,R189,R209",2
318,1,0,NonMatch,780,3.63,4,0.718732623,-0.257897253,"R24,R50,R72,R97,R120,R140,R165,R187,R208,R228",2
319,1,1,Match,480,3.71,4,0.736999305,-0.014212577,"R18,R34,R59,R95,R120,R134,R161,R183,R196,R225",2
320,0,0,Match,540,3.28,1,-0.15175728,0.374127362,"R5,R35,R55,R73,R75,R114,R131,R145,R167,R192,R214",1
321,0,0,Match,460,3.14,3,0.085594199,0.411441722,"R5,R31,R56,R86,R99,R131,R156,R173,R195,R215",1
322,0,1,NonMatch,460,3.58,2,-0.54098691,-0.377968653,"R31,R59,R84,R119,R134,R152,R181,R190,R225",1
323,0,0,Match,500,3.01,4,0.397704073,0.532418735,"R5,R45,R57,R89,R99,R163,R173,R198,R215",1
324,0,0,Match,420,2.69,2,-0.427719175,0.571346328,"R4,R31,R54,R80,R99,R122,R143,R169,R189,R213",1
325,0,0,Match,520,2.7,3,0.197904188,0.424759797,"R5,R43,R56,R86,R101,R126,R156,R173,R198,R215",1
326,0,1,NonMatch,680,3.9,1,-0.051872116,-0.621993993,"R20,R35,R63,R77,R119,R138,R150,R180,R203,R232",1
327,0,0,Match,680,3.31,2,-0.506894688,-0.015660322,"R13,R39,R63,R84,R116,R131,R146,R169,R205,R221",1
328,1,1,Match,560,3.48,2,-0.404434582,-0.221393938,"R16,R39,R56,R84,R119,R135,R152,R178,R192,R225",2
329,0,0,Match,580,3.34,2,-0.399568813,0.078373875,"R6,R39,R56,R84,R116,R131,R145,R151,R169,R192,R221",1
330,0,0,Match,500,2.93,4,0.370365909,0.531768813,"R5,R45,R57,R89,R99,R126,R163,R173,R198,R215",1
331,0,0,Match,740,4,3,0.436232474,-0.49902991,"R25,R49,R69,R94,R120,R140,R158,R182,R207,R232",1
332,0,0,Match,660,3.59,3,0.454245089,-0.297984027,"R24,R49,R66,R87,R120,R140,R156,R182,R207,R225",1
333,0,0,Match,420,2.96,1,-0.273754246,0.705000221,"R4,R30,R54,R73,R99,R121,R142,R167,R188,R213",1
334,0,0,Match,560,3.43,3,0.269279569,0.166586761,"R5,R44,R56,R86,R120,R135,R156,R178,R198,R221",1
335,1,1,Match,460,3.64,3,0.587298977,-0.117246189,"R18,R31,R59,R93,R120,R134,R157,R181,R195,R225",2
336,1,1,Match,620,3.71,1,-0.214220153,-0.691268552,"R19,R35,R63,R75,R119,R138,R149,R179,R201,R223",2
337,0,0,Match,520,3.15,3,0.2212088,0.382068393,"R5,R43,R56,R86,R109,R131,R156,R173,R198,R215",1
338,0,0,Match,620,3.09,4,0.611096659,0.39854082,"R9,R46,R70,R89,R101,R163,R173,R208,R222",1
339,0,0,Match,540,3.2,1,-0.177012064,0.457519677,"R5,R35,R55,R73,R110,R131,R145,R167,R191,R214",1
340,1,1,Match,660,3.47,3,0.526155891,-0.260929423,"R22,R49,R66,R87,R120,R140,R156,R178,R207,R225",2
341,0,0,Match,500,3.23,4,0.429955447,0.448842558,"R5,R45,R57,R89,R109,R131,R163,R174,R198,R215",1
342,1,1,Match,560,2.65,3,-0.030799377,0.427061363,"R3,R44,R56,R86,R101,R126,R154,R172,R197,R218",2
343,0,0,Match,500,3.95,4,0.733332578,0.071548983,"R18,R45,R60,R96,R120,R134,R164,R183,R198,R233",1
344,0,0,Match,580,3.06,2,-0.543929519,0.234113838,"R6,R39,R56,R83,R101,R144,R169,R191,R221",1
345,0,0,Match,520,3.35,3,0.222904009,0.337619886,"R5,R43,R56,R86,R117,R131,R156,R175,R198,R215",1
346,0,0,Match,500,3.03,3,0.221338802,0.452044117,"R5,R43,R56,R86,R99,R156,R173,R198,R215",1
347,0,1,NonMatch,600,3.35,2,-0.55713677,-0.043569911,"R12,R39,R63,R84,R117,R131,R151,R169,R205,R221",1
348,0,1,NonMatch,580,3.8,2,-0.431924843,-0.453940363,"R25,R39,R59,R84,R119,R138,R152,R181,R193,R229",1
349,0,0,Match,400,3.36,2,-0.544921848,0.451014612,"R4,R31,R54,R84,R118,R124,R148,R169,R189,R210",1
350,0,0,Match,620,2.85,2,-0.637095973,0.297870029,"R8,R39,R62,R80,R101,R126,R143,R169,R204,R217",1
351,1,1,Match,780,4,2,-0.15730775,-0.489660077,"R25,R41,R65,R84,R119,R138,R152,R182,R206,R232",2
352,0,0,Match,620,3.43,3,0.408485834,-0.162349765,"R12,R44,R66,R87,R120,R139,R156,R178,R207,R221",1
353,1,0,NonMatch,580,3.12,3,0.141089722,0.253098905,"R6,R44,R56,R86,R101,R130,R156,R173,R198,R221",2
354,0,1,NonMatch,700,3.52,2,-0.327309086,-0.511421503,"R24,R40,R63,R84,R119,R138,R152,R182,R206,R227",1
355,1,1,Match,540,3.78,2,-0.534718069,-0.41215887,"R17,R39,R59,R84,R119,R136,R152,R181,R193,R229",2
356,1,1,Match,760,2.81,1,0.317701221,-0.736508934,"R10,R37,R64,R74,R102,R127,R141,R168,R200,R216",2
357,0,0,Match,700,3.27,2,-0.615846292,-0.023979544,"R13,R40,R63,R84,R114,R131,R147,R169,R205,R221",1
358,0,0,Match,720,3.31,1,-0.050464702,-0.057983953,"R14,R36,R63,R76,R116,R131,R147,R168,R199,R220",1
359,1,1,Match,560,3.69,3,0.543433616,-0.125019587,"R18,R44,R59,R93,R120,R136,R158,R181,R198,R225",2
360,0,1,NonMatch,720,3.94,3,0.450788589,-0.480019572,"R25,R49,R69,R93,R120,R140,R158,R182,R207,R232",1
361,1,1,Match,520,4,1,0.074393412,-0.661755978,"R15,R35,R58,R75,R119,R136,R150,R180,R193,R232",2
362,1,1,Match,540,3.49,1,0.103742049,-0.647762116,"R15,R35,R55,R75,R119,R135,R149,R176,R192,R223",2
363,0,1,NonMatch,680,3.14,2,-0.570552574,0.018317618,"R8,R39,R63,R84,R103,R131,R144,R169,R205,R221",1
364,0,0,Match,460,3.44,2,-0.584613177,-0.205246968,"R16,R31,R56,R84,R119,R133,R151,R177,R190,R225",1
365,1,1,Match,560,3.36,1,-0.087304589,0.013390527,"R5,R35,R55,R75,R119,R131,R149,R168,R192,R220",2
366,0,0,Match,480,2.78,3,0.096702016,0.467099085,"R5,R31,R56,R86,R99,R126,R156,R173,R195,R215",1
367,0,0,Match,460,2.93,3,0.096702016,0.467099085,"R5,R31,R56,R86,R99,R126,R156,R173,R195,R215",1
368,0,0,Match,620,3.63,3,0.393083973,-0.281722394,"R24,R44,R66,R93,R120,R139,R156,R182,R207,R225",1
369,0,1,NonMatch,580,4,1,0.007311885,-0.648026465,"R20,R35,R58,R75,R119,R138,R150,R180,R193,R232",1
370,0,1,NonMatch,800,3.89,2,-0.163455546,-0.492641353,"R25,R42,R65,R84,R119,R138,R152,R182,R206,R232",1
371,1,1,Match,540,3.77,2,-0.534718069,-0.41215887,"R17,R39,R59,R84,R119,R136,R152,R181,R193,R229",2
372,1,0,NonMatch,680,3.76,3,0.493255217,-0.468768077,"R25,R49,R69,R93,R120,R140,R158,R182,R207,R230",2
373,1,1,Match,680,2.42,1,-0.721841181,0.339147426,"R8,R35,R61,R74,R102,R126,R141,R168,R199,R216",2
